series_id,step,timestamp,anglez,enmo
038441c925bb,0,2018-08-14T15:30:00-0400,2.6367,0.0217
038441c925bb,1,2018-08-14T15:30:05-0400,2.6368,0.0215
038441c925bb,2,2018-08-14T15:30:10-0400,2.637,0.0216
038441c925bb,3,2018-08-14T15:30:15-0400,2.6368,0.0213
038441c925bb,4,2018-08-14T15:30:20-0400,2.6368,0.0215
038441c925bb,5,2018-08-14T15:30:25-0400,2.6367,0.0217
038441c925bb,6,2018-08-14T15:30:30-0400,2.6367,0.0217
038441c925bb,7,2018-08-14T15:30:35-0400,2.6367,0.0218
038441c925bb,8,2018-08-14T15:30:40-0400,2.798,0.0223
038441c925bb,9,2018-08-14T15:30:45-0400,3.0847,0.0217
038441c925bb,10,2018-08-14T15:30:50-0400,2.7802,0.0229
038441c925bb,11,2018-08-14T15:30:55-0400,2.5205,0.0216
038441c925bb,12,2018-08-14T15:31:00-0400,2.4129,0.0218
038441c925bb,13,2018-08-14T15:31:05-0400,2.4129,0.0214
038441c925bb,14,2018-08-14T15:31:10-0400,2.4129,0.0214
038441c925bb,15,2018-08-14T15:31:15-0400,2.4129,0.0214
038441c925bb,16,2018-08-14T15:31:20-0400,2.4129,0.0215
038441c925bb,17,2018-08-14T15:31:25-0400,2.4132,0.0217
038441c925bb,18,2018-08-14T15:31:30-0400,49.8744,0.0395
038441c925bb,19,2018-08-14T15:31:35-0400,54.8498,0.0166
038441c925bb,20,2018-08-14T15:31:40-0400,44.0993,0.017
038441c925bb,21,2018-08-14T15:31:45-0400,67.3813,0.0102
038441c925bb,22,2018-08-14T15:31:50-0400,68.4605,0.0238
038441c925bb,23,2018-08-14T15:31:55-0400,37.7219,0.007
038441c925bb,24,2018-08-14T15:32:00-0400,30.0025,0.0082
038441c925bb,25,2018-08-14T15:32:05-0400,27.8679,0.0119
038441c925bb,26,2018-08-14T15:32:10-0400,28.5856,0.0115
038441c925bb,27,2018-08-14T15:32:15-0400,-6.6069,0.0691
038441c925bb,28,2018-08-14T15:32:20-0400,-79.9704,0.0132
038441c925bb,29,2018-08-14T15:32:25-0400,-79.9883,0.0136
038441c925bb,30,2018-08-14T15:32:30-0400,-79.9987,0.0134
038441c925bb,31,2018-08-14T15:32:35-0400,-79.978,0.0135
038441c925bb,32,2018-08-14T15:32:40-0400,-79.9694,0.0133
038441c925bb,33,2018-08-14T15:32:45-0400,-79.9688,0.0132
038441c925bb,34,2018-08-14T15:32:50-0400,-79.9688,0.0134
038441c925bb,35,2018-08-14T15:32:55-0400,-79.9908,0.0143
038441c925bb,36,2018-08-14T15:33:00-0400,-79.9688,0.0136
038441c925bb,37,2018-08-14T15:33:05-0400,-80.0073,0.0138
038441c925bb,38,2018-08-14T15:33:10-0400,-79.9927,0.014
038441c925bb,39,2018-08-14T15:33:15-0400,-79.9764,0.0135
038441c925bb,40,2018-08-14T15:33:20-0400,-79.9961,0.0135
038441c925bb,41,2018-08-14T15:33:25-0400,-79.9863,0.0137
038441c925bb,42,2018-08-14T15:33:30-0400,-79.9795,0.0134
038441c925bb,43,2018-08-14T15:33:35-0400,-79.9779,0.0135
038441c925bb,44,2018-08-14T15:33:40-0400,-80.0078,0.0135
038441c925bb,45,2018-08-14T15:33:45-0400,-79.9801,0.0132
038441c925bb,46,2018-08-14T15:33:50-0400,-80.0043,0.0138
038441c925bb,47,2018-08-14T15:33:55-0400,-80.0082,0.014
038441c925bb,48,2018-08-14T15:34:00-0400,-80.0143,0.0141
038441c925bb,49,2018-08-14T15:34:05-0400,-80.0156,0.0137
038441c925bb,50,2018-08-14T15:34:10-0400,-80.0147,0.0138
038441c925bb,51,2018-08-14T15:34:15-0400,-80.0253,0.0137
038441c925bb,52,2018-08-14T15:34:20-0400,-80.0124,0.0132
038441c925bb,53,2018-08-14T15:34:25-0400,-80.0147,0.0137
038441c925bb,54,2018-08-14T15:34:30-0400,-80.0067,0.0136
038441c925bb,55,2018-08-14T15:34:35-0400,-79.9932,0.0135
038441c925bb,56,2018-08-14T15:34:40-0400,-80.0123,0.0136
038441c925bb,57,2018-08-14T15:34:45-0400,-80.0128,0.0137
038441c925bb,58,2018-08-14T15:34:50-0400,-80.0081,0.0139
038441c925bb,59,2018-08-14T15:34:55-0400,-80.0093,0.0133
038441c925bb,60,2018-08-14T15:35:00-0400,-80.0103,0.0138
038441c925bb,61,2018-08-14T15:35:05-0400,-80.0015,0.0137
038441c925bb,62,2018-08-14T15:35:10-0400,-79.9834,0.0135
038441c925bb,63,2018-08-14T15:35:15-0400,-79.9921,0.014
038441c925bb,64,2018-08-14T15:35:20-0400,-80.0107,0.0132
038441c925bb,65,2018-08-14T15:35:25-0400,-80.0235,0.0138
038441c925bb,66,2018-08-14T15:35:30-0400,-80.003,0.0134
038441c925bb,67,2018-08-14T15:35:35-0400,-80.0785,0.0132
038441c925bb,68,2018-08-14T15:35:40-0400,-80.1235,0.0128
038441c925bb,69,2018-08-14T15:35:45-0400,-79.9816,0.0133
038441c925bb,70,2018-08-14T15:35:50-0400,-79.9827,0.0131
038441c925bb,71,2018-08-14T15:35:55-0400,-80.0148,0.0132
038441c925bb,72,2018-08-14T15:36:00-0400,-80.0349,0.0131
